Company,Ticker,Stock Price,Market Cap,Last Quarter Filed,Last Quarter Revenue,Annualized Revenue,YoY Growth%,Revenue Multiple,Shares Outstanding (estimate),IPO Year,Year Founded,Founder(s),Headquarters,Last Quarter EBITDA,Annualized EBITDA,YoY Change in EBITDA%,EBITDA Margin,Last Quarter Net Income,Annualized Net Income,YoY Change in Net Income%,Net Income Margin,Cash and Short Term Investments,YoY Change in Cash and Short Term Investments%,Lead Investor(s) Pre-IPO,Pre-IPO Venture Funding Estimate,Employee Count (estimate),Annual Revenue per Employee (estimate),Product Description,September 2024 Website Traffic (Estimate),YoY Change in Website Traffic%,Company Website,Company Investor Relations Page,S-1 Filing,2023 10-K Filing
PagerDuty,PD,$18.43,1662.0,Oct 2024,"$118,950,000","$475,800,000",9.41%,3.49,"90,179,056",2019,2010,"Alex Solomon, Andrew Miklas, Baskar Puvanathasan, Dan Alexandru, Dan Mills, David Shackleton, Devananda van der Veen, Jennifer Tejada, John Laban, Julian Dunn, Michael Basnight, Ramin Sayar, Rob Malnati, Sean Higgins",San Francisco,"-$5,220,000","-$20,880,000",66.98%,-4.39%,"-$6,560,000","-$26,240,000",56.64%,-5.51%,"$542,160,000",-5.76%,"Andreessen Horowitz, Accel, Bessemer Venture Partners",$173.6 million,1210,"$393,200","Incident management platform that helps businesses respond to critical issues, providing real-time alerts, on-call scheduling, and automated escalations.","","",http://www.pagerduty.com,http://investor.pagerduty.com,https://www.sec.gov/Archives/edgar/data/1568100/000162828019003003/pagerdutys-1.htm,https://www.sec.gov/Archives/edgar/data/1568100/000156810024000013/pd-20240131.htm
Palo Alto Networks,PANW,$189.51,124357.0,Oct 2024,"$2,140,000,000","$8,560,000,000",13.88%,14.53,"656,202,839",2012,2005,Nir Zuk,Santa Clara,"$327,400,000","$1,309,600,000",17.14%,15.30%,"$350,700,000","$1,402,800,000",80.59%,16.39%,"$3,390,000,000",-12.91%,"Greylock Partners, Sequoia Capital",$65 million,10000,"$856,000","Cybersecurity solutions including next-generation firewalls, cloud security, and threat intelligence services to protect organizations from cyber threats and safeguard their digital assets and networks","","",http://www.paloaltonetworks.com,http://investors.paloaltonetworks.com,https://www.sec.gov/Archives/edgar/data/1327567/000119312512153764/d318373ds1.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/panw-20240731.htm
PubMatic,PUBM,$15.37,762.0,Sep 2024,"$71,790,000","$287,160,000",12.73%,2.65,"49,577,098",2020,2006,"Rajeev Goel, Amar Goel, Anand Das, Amar Goel",Redwood City,"$5,120,000","$20,480,000",-27.20%,7.13%,"-$912,000","-$3,648,000",-151.41%,-1.27%,"$140,380,000",-18.08%,"August Capital, Draper Fisher Jurvetson (DFJ), Helion Venture Partners, Nexus Venture Partners",$76 million,910,"$315,600","Digital advertising with features like programmatic advertising, real-time bid management, and analytics.","","",http://www.pubmatic.com,http://investors.pubmatic.com,https://www.sec.gov/Archives/edgar/data/1422930/000162828020016438/pubmatics-12020.htm,https://www.sec.gov/Archives/edgar/data/1422930/000142293024000012/pubm-20231231.htm
Qualys,QLYS,$141.59,5181.0,Sep 2024,"$153,870,000","$615,480,000",8.36%,8.42,"36,591,567",2012,1999,Philippe Courtot,Foster City,"$49,340,000","$197,360,000",-1.88%,32.07%,"$46,210,000","$184,840,000",-0.65%,30.03%,"$386,340,000",-9.61%,"Trident Capital, ABS Ventures",N/A,1500,"$410,300","Cloud-based security and compliance solutions, including vulnerability management, threat protection, and asset inventory services","","",http://www.qualys.com,http://investor.qualys.com,https://www.sec.gov/Archives/edgar/data/1107843/000119312512265366/d355355ds1.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784324000008/qlys-20231231.htm
RingCentral,RNG,$36.99,3329.0,Sep 2024,"$608,760,000","$2,435,040,000",9.07%,1.37,"89,997,297",2013,1999,Vlad Shmunis,Belmont,"$62,720,000","$250,880,000",564.69%,10.30%,"-$7,850,000","-$31,400,000",81.35%,-1.29%,"$212,650,000",-50.82%,"Sequoia Capital, Khosla Ventures",N/A,4000,"$608,800","Cloud-based communication and collaboration solutions, including voice, video, messaging, and contact center services.","","",http://www.ringcentral.com,http://ir.ringcentral.com,https://www.sec.gov/Archives/edgar/data/1384905/000119312513346260/d310247ds1.htm,https://www.sec.gov/Archives/edgar/data/1384905/000138490524000013/rng-20231231.htm
Rumble,RUM,$12.68,3601.0,Sep 2024,"$25,060,000","$100,240,000",39.34%,35.92,"283,990,536",2021,2016,"Nikola Mrkšić, Adam Cann",San Francisco,"-$29,690,000","-$118,760,000",25.31%,-118.48%,"-$31,540,000","-$126,160,000",-8.68%,-125.86%,"$131,990,000",-50.57%,"Sequoia Capital, Accel Partners",$60 million,70,"$1,432,000","Video hosting, sharing, and monetization for content creators and businesses.","","",http://www.rumble.com,http://investors.rumble.com,https://www.sec.gov/Archives/edgar/data/1830081/000121390021005460/fs2021_cfacqcorp6.htm,https://www.sec.gov/Archives/edgar/data/1830081/000121390024026599/ea0202455-10k_rumble.htm
Salesforce,CRM,$344.43,329620.0,Oct 2024,"$9,440,000,000","$37,760,000,000",8.30%,8.73,"957,001,423",2004,1999,"Marc Benioff, Parker Harris, Dave Moellenhoff, Frank Dominguez",San Francisco,"$2,760,000,000","$11,040,000,000",14.27%,29.24%,"$1,530,000,000","$6,120,000,000",24.75%,16.21%,"$12,760,000,000",7.54%,Sequoia Capital,$64 million,80300,"$470,200",Customer relationship management (CRM) software with a focus on enterprise. One of the first successful SaaS companies,"","",http://www.salesforce.com,http://investor.salesforce.com,https://www.sec.gov/Archives/edgar/data/1108524/000119312503096073/ds1.htm,https://www.sec.gov/Archives/edgar/data/1108524/000110852424000005/crm-20240131.htm
Samsara,IOT,$45.55,25563.0,Nov 2024,"$321,980,000","$1,287,920,000",35.55%,19.85,"561,207,464",2021,2015,"Sanjit Biswas, John Bicket, and John Sleiter",San Francisco,"-$37,000,000","-$148,000,000",20.18%,-11.49%,"-$37,810,000","-$151,240,000",16.97%,-11.74%,"$671,910,000",1.84%,"Andreessen Horowitz, General Catalyst, Tiger Global Management",$930 million,2360,"$545,700","Fleet management and industrial IoT solutions, including GPS tracking, real-time monitoring, and data analytics.","","",http://www.samsara.com,http://investors.samsara.com,https://www.sec.gov/Archives/edgar/data/1642896/000119312521334578/d261594ds1.htm,https://www.sec.gov/Archives/edgar/data/1642896/000164289624000016/iot-20240203.htm
SentinelOne,S,$22.69,7291.0,Oct 2024,"$210,650,000","$842,600,000",28.31%,8.65,"321,330,983",2021,2013,"Tomer Weingarten, Almog Cohen, Ehud Shamir, and Itay Yanovski",Mountain View,"-$78,400,000","-$313,600,000",-9.71%,-37.22%,"-$78,360,000","-$313,440,000",-11.46%,-37.20%,"$660,260,000",-17.26%,"Insight Partners, Tiger Global Management, Third Point Ventures",$696 million,2310,"$364,800","Endpoint security platform that uses AI to provide threat prevention, detection, and response.","","",http://www.sentinelone.com,http://investors.sentinelone.com,https://www.sec.gov/Archives/edgar/data/1583708/000162828021011624/sentineloneincs-1initialpu.htm,https://www.sec.gov/Archives/edgar/data/1583708/000158370824000016/s-20240131.htm
ServiceNow,NOW,"$1,105.56",227745.0,Sep 2024,"$2,800,000,000","$11,200,000,000",22.25%,20.33,"205,999,674",2012,2004,Fred Luddy,Santa Clara,"$562,000,000","$2,248,000,000",49.07%,20.07%,"$432,000,000","$1,728,000,000",78.51%,15.43%,"$5,300,000,000",30.19%,"JMI Equity, Sequoia Capital",$83.7 million,21200,"$528,300","Solutions for IT service management, IT operations management, and IT business management.","","",http://www.servicenow.com,http://www.servicenow.com/company/investor-relations.html,https://www.sec.gov/Archives/edgar/data/1373715/000119312512280645/d301887ds1a.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/now-20231231.htm
Snowflake,SNOW,$163.06,53826.0,Oct 2024,"$942,090,000","$3,768,360,000",28.32%,14.28,"330,099,350",2020,2012,"Benjamin Christian, Thierry Cruanes, Marcin Zukowski",San Mateo,"-$316,010,000","-$1,264,040,000",-35.60%,-33.54%,"-$324,280,000","-$1,297,120,000",-51.35%,-34.42%,"$4,160,000,000",17.15%,"Sequoia Capital, Sutter Hill Ventures, ICONIQ Capital",$1.4 billion.,1430,"$2,635,200",Data warehousing platform for large amounts of data and machine learning enablement.,"","",http://www.snowflake.com,http://investors.snowflake.com,https://www.sec.gov/Archives/edgar/data/1640147/000162828020013010/snowflakes-1.htm,https://www.sec.gov/Archives/edgar/data/1640147/000164014724000101/snow-20240131.htm
SoundHound AI,SOUN,$20.24,7484.0,Sep 2024,"$25,090,000","$100,360,000",89.13%,74.57,"369,762,846",2022,2005,"Keyvan Mohajer, Majid Emami",Santa Clara,"-$33,330,000","-$133,320,000",-138.08%,-132.84%,"-$21,750,000","-$87,000,000",-7.69%,-86.69%,"$135,610,000",41.04%,"Khosla Ventures, NVIDIA, Samsung Catalyst Fund",$215 million,450,"$223,000","Voice recognition technology to identify songs, provide lyrics, and offer music recommendations.","","",http://www.soundhound.com,http://investors.soundhound.com,https://www.sec.gov/Archives/edgar/data/1840856/000121390021009092/fs12021_archimedes.htm,https://www.sec.gov/Archives/edgar/data/1840856/000184085624000013/soun-20231231.htm
Synopsys,SNPS,$500.16,77314.0,Oct 2024,"$1,640,000,000","$6,560,000,000",2.30%,11.79,"154,578,535",1992,1986,"Aart de Geus, David Gregory and Bill Krieger",Sunnyvale,"$464,090,000","$1,856,360,000",-2.14%,28.30%,"$1,110,000,000","$4,440,000,000",219.05%,67.68%,"$4,050,000,000",154.65%,"Green Pine Capital Partners, New Enterprise Associates",$300 million,20300,"$323,200","Electronic design automation (EDA) software that streamlines the design, verification, and manufacturing processes for semiconductor and electronic systems.","","",http://www.synopsys.com,http://investor.synopsys.com,"",https://www.sec.gov/Archives/edgar/data/883241/000088324123000019/snps-20231031.htm
Twilio,TWLO,$111.38,17084.0,Sep 2024,"$1,130,000,000","$4,520,000,000",9.67%,3.78,"153,384,809",2016,2008,"Jeff Lawson, Evan Cooke, John Wolthuis",San Francisco,"$49,590,000","$198,360,000",267.86%,4.39%,"-$9,730,000","-$38,920,000",93.14%,-0.86%,"$2,700,000,000",-30.05%,"Union Square Ventures, Fidelity Investments, T. Rowe Price, Bessemer Venture Partners",$233 million,3630,"$1,245,200","Cloud communications platform to integrate messaging, voice, and video capabilities into applications.","","",http://www.twilio.com,http://investors.twilio.com,https://www.sec.gov/Archives/edgar/data/1447669/000104746916013448/a2227414zs-1.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766924000034/twlo-20231231.htm
Udemy,UDMY,$7.98,1164.0,Sep 2024,"$195,420,000","$781,680,000",5.79%,1.49,"145,864,662",2021,2010,"Eren Bali, Oktay Caglar, Gagan Biyani",San Francisco,"-$16,830,000","-$67,320,000",14.93%,-8.61%,"-$25,270,000","-$101,080,000",-50.72%,-12.93%,"$357,110,000",-25.52%,"Bessemer Venture Partners, Insight Partners, Norwest Venture Partners",$223 million,1750,"$446,700","Online learning platform that offers a wide range of courses on various subjects, and enables course creators to reach their audience.","","",http://www.udemy.com,http://investors.udemy.com,https://www.sec.gov/Archives/edgar/data/1607939/000119312521291460/d163445ds1.htm,https://www.sec.gov/Archives/edgar/data/1607939/000160793924000037/udmy-20231231.htm
Workday,WDAY,$269.04,71565.0,Oct 2024,"$2,160,000,000","$8,640,000,000",15.76%,8.28,"266,001,338",2012,2005,"David Duffield, Aneel Bhusri",Pleasanton,"$246,000,000","$984,000,000",56.69%,11.39%,"$193,000,000","$772,000,000",69.30%,8.94%,"$7,160,000,000",4.03%,"Greylock Partners, New Enterprise Associates (NEA), T. Rowe Price",$250 million,18200,"$474,700","Applications for human resources, finance, business planning, workforce management.","","",http://www.workday.com,http://investor.workday.com,https://www.sec.gov/Archives/edgar/data/1327811/000119312512375787/d385110ds1.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781124000044/wday-20240131.htm
Zoom,ZM,$85.67,26257.0,Oct 2024,"$1,180,000,000","$4,720,000,000",3.59%,5.56,"306,490,020",2019,2011,Eric Yuan,San Jose,"$215,130,000","$860,520,000",9.56%,18.23%,"$207,050,000","$828,200,000",46.62%,17.55%,"$7,700,000,000",18.59%,"Sequoia Capital, Emergence Capital, Horizons Ventures",$160 million,8750,"$539,400","Video conferencing for virtual meetings, webinars, and online events.","","",http://www.zoom.us,http://investors.zoom.us,https://www.sec.gov/Archives/edgar/data/1585521/000119312519083351/d642624ds1.htm,https://www.sec.gov/Archives/edgar/data/1585521/000158552124000030/zm-20240131.htm
Zscaler,ZS,$187.26,28733.0,Oct 2024,"$627,960,000","$2,511,840,000",26.42%,11.44,"153,439,069",2018,2008,"Jay Chaudhry, K. Kailash",San Jose,"-$8,820,000","-$35,280,000",69.65%,-1.40%,"-$12,050,000","-$48,200,000",64.01%,-1.92%,"$2,710,000,000",16.50%,"Tiger Global Management, CapitalG",$148 million,6160,"$407,800",Security platform that provides secure access to the internet and protects organizations from cyber threats.,"","",http://www.zscaler.com,http://ir.zscaler.com,https://www.sec.gov/Archives/edgar/data/1713683/000119312518048303/d400527ds1.htm,https://www.sec.gov/Archives/edgar/data/1713683/000171368324000109/zs-20240731.htm
Zuora,ZUO,$9.92,1525.0,Oct 2024,"$116,930,000","$467,720,000",6.45%,3.26,"153,729,839",2018,2007,"Tien Tzuo, K.V. Rao, Cheng Zou",Redwood City,"-$5,920,000","-$23,680,000",-64.85%,-5.06%,"-$32,210,000","-$128,840,000",-485.35%,-27.55%,"$559,460,000",13.12%,"Benchmark Capital, Greylock Partners, Shasta Ventures",$242 million,1610,"$290,500",Subscription management platform for management of recurring billing products and services.,"","",http://www.zuora.com,http://investor.zuora.com,https://www.sec.gov/Archives/edgar/data/1423774/000119312518085792/d481302ds1.htm,https://www.sec.gov/Archives/edgar/data/1423774/000142377424000079/zuo-20240131.htm
